,x,y,z,num_of_neighbor_lesions,avg_of_num_of_neighbor_lesions,diff_of_num_of_neighbor_lesions_and_avg_of_num_of_neighbor_lesions,voxel_intensity,average_intensity_of_neighbor_voxels,diff_of_vox_int_and_avg_int_of_nei_vox
3636,232,258,194,26.0,24.96153846153846,1.03846153846154,182.0,179.92307692307693,2.076923076923066
3637,232,258,195,26.0,25.653846153846153,0.3461538461538467,186.0,182.6153846153846,3.384615384615387
3638,232,258,196,26.0,25.076923076923077,0.9230769230769234,186.0,182.03846153846155,3.961538461538453
3639,232,258,197,23.0,24.391304347826086,-1.391304347826086,181.0,180.0,1.0
3640,232,258,198,20.0,23.5,-3.5,174.0,175.9,-1.9000000000000057
3641,232,258,199,20.0,23.5,-3.5,167.0,168.1,-1.0999999999999943
3642,232,258,200,23.0,23.217391304347824,-0.2173913043478244,162.0,161.08695652173913,0.9130434782608745
3643,232,258,201,23.0,23.130434782608695,-0.13043478260869534,156.0,156.43478260869566,-0.4347826086956559
3644,232,258,202,20.0,20.75,-0.75,149.0,151.05,-2.0500000000000114
3645,232,258,203,11.0,19.727272727272727,-8.727272727272727,141.0,148.45454545454547,-7.4545454545454675
3646,232,259,190,20.0,19.05,0.9499999999999993,151.0,153.5,-2.5
3647,232,259,191,26.0,20.076923076923077,5.923076923076923,160.0,157.30769230769232,2.692307692307679
3648,232,259,192,26.0,22.653846153846153,3.3461538461538467,166.0,164.34615384615384,1.6538461538461604
3649,232,259,193,26.0,23.73076923076923,2.26923076923077,172.0,170.42307692307693,1.576923076923066
3650,232,259,194,26.0,24.96153846153846,1.03846153846154,178.0,175.3846153846154,2.615384615384613
3651,232,259,195,26.0,25.653846153846153,0.3461538461538467,181.0,177.92307692307693,3.076923076923066
3652,232,259,196,26.0,24.76923076923077,1.23076923076923,180.0,177.19230769230768,2.807692307692321
3653,232,259,197,23.0,23.608695652173914,-0.608695652173914,175.0,175.17391304347825,-0.17391304347825098
3654,232,259,198,20.0,22.05,-2.0500000000000007,170.0,171.75,-1.75
3655,232,259,199,20.0,21.75,-1.75,165.0,165.45,-0.44999999999998863
3656,232,259,200,23.0,21.608695652173914,1.391304347826086,161.0,159.2608695652174,1.739130434782595
3657,232,259,201,23.0,21.52173913043478,1.4782608695652186,154.0,154.34782608695653,-0.3478260869565304
3658,232,259,202,20.0,18.95,1.0500000000000007,145.0,147.6,-2.5999999999999943
3659,232,259,203,11.0,17.545454545454547,-6.545454545454547,135.0,143.72727272727272,-8.72727272727272
3660,232,260,190,15.0,18.666666666666668,-3.666666666666668,147.0,152.8,-5.800000000000011
3661,232,260,191,22.0,19.545454545454547,2.4545454545454533,154.0,155.4090909090909,-1.4090909090909065
3662,232,260,192,24.0,22.25,1.75,160.0,160.5,-0.5
3663,232,260,193,26.0,23.346153846153847,2.6538461538461533,166.0,164.80769230769232,1.1923076923076792
3664,232,260,194,26.0,24.96153846153846,1.03846153846154,172.0,169.65384615384616,2.3461538461538396
3665,232,260,195,26.0,25.653846153846153,0.3461538461538467,175.0,172.23076923076923,2.7692307692307736
3666,232,260,196,26.0,24.384615384615383,1.6153846153846168,173.0,171.65384615384616,1.3461538461538396
3667,232,260,197,21.0,23.285714285714285,-2.2857142857142847,170.0,170.47619047619048,-0.4761904761904816
3668,232,260,198,16.0,21.4375,-5.4375,165.0,168.5,-3.5
3669,232,260,199,15.0,21.066666666666666,-6.066666666666666,162.0,162.46666666666667,-0.46666666666666856
3670,232,260,200,19.0,20.473684210526315,-1.473684210526315,157.0,156.26315789473685,0.7368421052631504
3671,232,260,201,19.0,20.36842105263158,-1.3684210526315788,150.0,152.21052631578948,-2.2105263157894797
3672,232,260,202,15.0,18.266666666666666,-3.2666666666666657,139.0,145.66666666666666,-6.666666666666657
3673,232,260,203,7.0,17.285714285714285,-10.285714285714285,128.0,141.71428571428572,-13.714285714285722
3674,232,261,192,22.0,19.272727272727273,2.7272727272727266,154.0,155.86363636363637,-1.863636363636374
3675,232,261,193,26.0,20.423076923076923,5.576923076923077,159.0,158.84615384615384,0.1538461538461604
3676,232,261,194,26.0,22.653846153846153,3.3461538461538467,165.0,163.65384615384616,1.3461538461538396
3677,232,261,195,26.0,23.5,2.5,169.0,166.42307692307693,2.576923076923066
3678,232,261,196,26.0,21.923076923076923,4.076923076923077,168.0,166.19230769230768,1.8076923076923208
3679,232,261,197,19.0,21.0,-2.0,165.0,165.6315789473684,-0.6315789473684106
3680,232,261,200,15.0,16.466666666666665,-1.466666666666665,151.0,151.13333333333333,-0.13333333333332575
3681,232,261,201,15.0,16.333333333333332,-1.3333333333333321,143.0,148.73333333333332,-5.73333333333332
3682,232,262,192,13.0,18.307692307692307,-5.307692307692307,148.0,154.0,-6.0
3683,232,262,193,18.0,19.11111111111111,-1.1111111111111107,154.0,156.16666666666666,-2.166666666666657
3684,232,262,194,19.0,21.42105263157895,-2.4210526315789487,159.0,160.78947368421052,-1.7894736842105203
3685,232,262,195,20.0,22.1,-2.1000000000000014,163.0,163.25,-0.25
3686,232,262,196,20.0,20.45,-0.4499999999999993,163.0,162.9,0.09999999999999432
3687,232,262,197,13.0,19.846153846153847,-6.846153846153847,160.0,162.30769230769232,-2.307692307692321
3688,232,262,200,7.0,14.714285714285714,-7.7142857142857135,145.0,146.42857142857142,-1.4285714285714164
3689,232,262,201,7.0,14.714285714285714,-7.7142857142857135,138.0,147.42857142857142,-9.428571428571416
3690,233,247,196,13.0,15.153846153846153,-2.1538461538461533,160.0,164.46153846153845,-4.461538461538453
3691,233,247,197,11.0,14.909090909090908,-3.9090909090909083,162.0,163.36363636363637,-1.363636363636374
3692,233,248,196,22.0,16.90909090909091,5.09090909090909,168.0,167.13636363636363,0.863636363636374
3693,233,248,197,18.0,16.444444444444443,1.5555555555555571,167.0,165.55555555555554,1.444444444444457
3694,233,249,194,15.0,19.733333333333334,-4.733333333333334,172.0,175.33333333333334,-3.333333333333343
3695,233,249,195,22.0,20.772727272727273,1.2272727272727266,175.0,173.54545454545453,1.4545454545454675
3696,233,249,196,24.0,21.0,3.0,174.0,172.25,1.75
3697,233,249,197,19.0,20.42105263157895,-1.4210526315789487,171.0,170.0,1.0
