voxel_id,x,y,z,num_of_neighbor_lesions,avg_of_num_of_neighbor_lesions,diff_of_num_of_neighbor_lesions_and_avg_of_num_of_neighbor_lesions,voxel_intensity,average_intensity_of_neighbor_voxels,diff_of_vox_int_and_avg_int_of_nei_vox
269,79,177,28,6,13.8333333333,-7.83333333333,552.0,587.5,-35.5
270,80,136,35,3,4.66666666667,-1.66666666667,614.0,619.0,-5.0
271,80,139,20,8,13.125,-5.125,658.0,654.5,3.5
272,80,140,20,10,14.4,-4.4,686.0,662.7,23.3
273,80,141,20,12,14.25,-2.25,721.0,652.5,68.5
274,80,142,20,12,13.3333333333,-1.33333333333,742.0,651.0,91.0
275,80,143,20,11,11.3636363636,-0.363636363636,761.0,634.454545455,126.545454545
276,80,144,20,8,10.5,-2.5,690.0,640.625,49.375
277,80,145,20,7,10.2857142857,-3.28571428571,644.0,618.571428571,25.4285714286
278,80,145,22,1,2.0,-1.0,521.0,607.0,-86.0
279,80,145,25,2,1.5,0.5,719.0,770.0,-51.0
280,80,146,20,7,11.4285714286,-4.42857142857,638.0,616.714285714,21.2857142857
281,80,147,20,8,11.375,-3.375,630.0,611.5,18.5
282,80,148,20,8,11.375,-3.375,585.0,635.375,-50.375
283,80,149,20,8,11.625,-3.625,602.0,648.125,-46.125
284,80,150,20,8,12.25,-4.25,634.0,655.875,-21.875
285,80,151,20,8,12.625,-4.625,655.0,659.375,-4.375
286,80,152,20,9,11.2222222222,-2.22222222222,658.0,654.0,4.0
287,80,152,24,3,4.66666666667,-1.66666666667,493.0,545.0,-52.0
288,80,153,20,10,9.7,0.3,668.0,657.4,10.6
289,80,153,22,3,5.66666666667,-2.66666666667,539.0,607.0,-68.0
290,80,154,20,10,8.0,2.0,690.0,632.0,58.0
291,80,155,20,8,7.5,0.5,645.0,615.625,29.375
292,80,156,20,8,7.125,0.875,611.0,578.875,32.125
293,80,157,20,10,8.8,1.2,621.0,587.2,33.8
